Time (s),q1_values_deg,q2_values_deg,q3_values_mm
1.31,-51.092113964973386,102.9400411942807,2.573509442632519e-05
1.32,-51.350932730748376,103.45780438935596,2.559305977200741e-05
1.33,-51.60867730321418,103.97263879551303,2.5425015910604253e-05
1.34,-51.86535249389253,104.48452791775881,2.5230556448255018e-05
1.35,-52.120963245984456,104.99345498429953,2.500927499109899e-05
1.36,-52.375514637687935,105.49940294640002,2.476076514527546e-05
1.37,-52.62901188535282,106.00235447815021,2.4484620516923724e-05
1.3800000000000001,-52.8814603464614,106.50229197614038,2.418043471218307e-05
1.3900000000000001,-53.13286552242322,106.9991975590483,2.3847801337192783e-05
1.4000000000000001,-53.38323306117103,107.4930530671393,2.3486313998092167e-05
1.41,-53.63256875954485,107.98384006168186,2.3095566301020507e-05
1.42,-53.88087856544961,108.47153982428009,2.2675151852117085e-05
1.43,-54.12816857977162,108.95613335612478,2.2224664257521197e-05
1.44,-54.37444505803783,109.43760137716484,2.1743697123372143e-05
1.45,-54.619714411801475,109.91592432520021,2.1231844055809215e-05
1.46,-54.863983209736325,110.391082354898,2.068869866097169e-05
1.47,-55.10725817842129,110.86305533673261,2.011385454499886e-05
1.48,-55.349546202796326,111.33182285585187,1.9506905314030033e-05
1.49,-55.590854326269266,111.79736421086972,1.8867444574204484e-05
1.5,-55.83118975045278,112.2596584125869,1.8195065931661516e-05
1.51,-56.07055983450939,112.7186841826406,1.7489362992540406e-05
1.52,-56.30897209408201,113.17441995208442,1.674992936298046e-05
1.53,-56.54643419978614,113.62684385989951,1.597635864912095e-05
1.54,-56.78295397523917,114.075933751438,1.5168244457101183e-05
1.55,-57.0185393946014,114.52166717679998,1.4325180393060437e-05
1.56,-57.25319857960234,114.9640213891447,1.3446760063138024e-05
1.57,-57.486939796025226,115.40297334293794,1.2532577073473223e-05
1.58,-57.71977144962137,115.83849969213561,1.1582225030205324e-05
1.59,-57.951702081425836,116.2705767883059,1.0595297539473619e-05
1.6,-58.18274036244437,116.6991806786904,9.571388207417405e-06
1.61,-58.412895087681406,117.12428710420616,8.51009064017596e-06
1.62,-58.642175169477525,117.54587149738954,7.41099844388858e-06
1.6300000000000001,-58.87058963012497,117.96390898028402,6.273705224694559e-06
1.6400000000000001,-59.09814759372815,118.37837436227309,5.097804588733179e-06
1.6500000000000001,-59.32485827727623,118.78924213785994,3.882890142143752e-06
1.6600000000000001,-59.55073098089418,119.19648648439649,2.6285554910655562e-06
1.67,-59.77577507723806,119.60008125976283,1.3343942416378684e-06
1.68,-60.00000000000001,120.00000000000001,0.0
1.69,-60.22341187152561,120.39622414985371,-1.3746272338480864e-06
1.7,-60.44600302736893,120.7887676620458,-2.787861884463462e-06
1.71,-60.667761418309105,121.17765213797264,-4.237671982542708e-06
1.72,-60.888673870950434,121.56289859298748,-5.7220255587821496e-06
1.73,-61.108726084141054,121.94452747952185,-7.238890643878307e-06
1.74,-61.32790262509188,122.3225587094642,-8.786235268527704e-06
1.75,-61.546186925227275,122.69701167581852,-1.036202746342666e-05
1.76,-61.7635612757992,123.06790527366358,-1.1964235259271768e-05
1.77,-61.98000682329579,123.43525792043138,-1.3590826686759343e-05
1.78,-62.195503564676024,123.79908757552258,-1.523976977658598e-05
1.79,-62.41003034246106,124.15941175927325,-1.6909032559447993e-05
1.8,-62.62356483971387,124.51624757128812,-1.8596583066041988e-05
1.81,-62.83608357493759,124.86961170815114,-2.0300389327064262e-05
1.82,-63.04756189692428,125.21952048052584,-2.2018419373211425e-05
1.83,-63.25797397958444,125.56598982965315,-2.3748641235179782e-05
1.84,-63.46729281678892,125.90903534325673,-2.548902294366594e-05
1.85,-63.67549021725382,126.24867227086092,-2.72375325293662e-05
1.86,-63.882536799499896,126.58491553852862,-2.899213802297717e-05
1.87,-64.08840198691716,126.9177797630219,-3.075080745519515e-05
1.8800000000000001,-64.29305400296636,127.24727926539052,-3.251150885671676e-05
1.8900000000000001,-64.49645986654801,127.5734280839891,-3.427221025823829e-05
1.9000000000000001,-64.69858538757065,127.89623998692561,-3.603087969045635e-05
1.9100000000000001,-64.8993951627492,128.21572848394058,-3.778548518406724e-05
1.92,-65.09885257166502,128.53190683771714,-3.953399476976758e-05
1.93,-65.2969197731185,128.8447880746201,-4.127437647825366e-05
1.94,-65.49355770180576,129.1543849948623,-4.300459834022209e-05
1.95,-65.68872606535035,129.4607101820946,-4.472262838636919e-05
1.96,-65.88238334172128,129.76377601241668,-4.642643464739154e-05
1.97,-66.07448677706824,130.06359466280333,-4.811398515398545e-05
1.98,-66.26499238400503,130.36017811894183,-4.978324793684754e-05
1.99,-66.45385494037193,130.65353818247465,-5.14321910266741e-05
2.0,-66.64102798850797,130.94368647764102,-5.305878245416168e-05
2.0100000000000002,-66.82646383506314,131.23063445731106,-5.4660990250006785e-05
2.02,-67.01011355138137,131.5143934084051,-5.623678244490574e-05
2.0300000000000002,-67.19192697448409,131.79497445669054,-5.7784127069555135e-05
2.04,-67.37185270868459,132.07238857094868,-5.93009921546513e-05
