Time (s),q1_values_deg,q2_values_deg,q3_values_mm,q1_dot_deg_per_s,q2_dot_deg_per_s,q3_dot_mm_per_s,q1_dotdot_deg_per_s2,q2_dotdot_deg_per_s2,q3_dotdot_mm_per_s2
0.0,3.58385105332909,86.66219992142696,0.0,0.022084051529880355,-0.023464563591346632,0.0,6.492322859457111,-6.898284264451604,0.0
0.01,3.584071893844389,86.66196527579105,0.0,0.08700728012445147,-0.09244740623586267,0.0,12.80375381664256,-13.604839125669344,0.0
0.02,3.585591198931579,86.66035097330224,0.0,0.27815912786273156,-0.2955613461047335,0.0,25.052114229393574,-26.621953866801107,0.0
0.03,3.5896350764016436,86.65605404886895,0.0,0.588049564712323,-0.6248864835718848,0.0,36.5428817468505,-38.8403926740466,0.0
0.04,3.5973521902258256,86.6478532436308,0.0,1.0090167627997415,-1.0723691995856655,0.0,47.27574672307777,-50.265556549788926,0.0
0.05,3.6098154116576384,86.63460666487724,0.0,1.5335644991738784,-1.6301976145676633,0.0,57.2673137922286,-60.92227069295575,0.0
0.06,3.628023480209303,86.61524929133945,0.0,2.1543630386443136,-2.2908146134447804,0.0,66.53426717117993,-70.8364332802347,0.0
0.07,3.6529026724305247,86.58879037260834,0.0,2.864249842597477,-3.0469262801723573,0.0,75.09335621930902,-80.03458406733444,0.0
0.08,3.6853084770612528,86.554310765736,0.0,3.656230163030494,-3.891506294791469,0.0,82.96138653956065,-88.5435266008372,0.0
0.09,3.7260272756911346,86.51096024671251,0.0,4.52347757338869,-4.817796812189101,0.0,90.15521575521434,-96.39000057720892,0.0
0.1,3.7757780285290266,86.45795482949222,0.0,5.459334478134781,-5.819306306335648,0.0,96.69175294403587,-103.60040077859622,0.0
0.11,3.83521396525383,86.3945741205858,0.0,6.457312632269407,-6.889804827761026,0.0,102.58796064493313,-110.20053900399063,0.0
0.12,3.9049242811744147,86.320158732937,0.0,7.511093691033444,-8.02331708641546,0.0,107.86085835119307,-116.21544547569584,0.0
0.13,3.985435839074499,86.23410777885749,0.0,8.614529799293269,-9.214113737274943,0.0,112.52752644972159,-121.66920630424016,0.0
0.14,4.07721487716028,86.1358764581915,0.0,9.761644220027875,-10.456701212500263,0.0,116.60510965105564,-126.58483373353846,0.0
0.15,4.180668723475057,86.02497375460749,0.0,10.946631992314382,-11.745810411945712,0.0,120.11081906556535,-130.9841660500055,0.0
0.16,4.296147517006568,85.90096024995259,0.0,12.163860601339183,-13.076384533500374,0.0,123.06193220376515,-134.88779420651298,0.0
0.17,4.42394593550184,85.76344606393748,0.0,13.407870636389685,-14.443566296075971,0.0,125.47579031395361,-138.31501238140476,0.0
0.18,4.564304929734361,85.61208892403107,0.0,14.673376407618255,-15.842684781128469,0.0,127.3697926087003,-141.28378986765,0.0
0.19,4.717413463654205,85.44659236831491,0.0,15.95526648856369,-17.26924209342897,0.0,128.76138706553908,-143.81076185031816,0.0
0.2,4.883410259505635,85.26670408216249,0.0,17.248604148929036,-18.718900018134832,0.0,129.66805761979163,-145.9112367887272,0.0
0.21,5.062385546632786,85.07221436795221,0.0,18.548627640959523,-20.187466829203515,0.0,130.10730769303026,-147.5992182767527,0.0
0.22,5.254382812324826,84.86295474557842,0.0,19.850750302789642,-21.670884383669886,0.0,130.09664011469866,-148.88743939803106,0.0
0.23,5.459400552688579,84.63879668027882,0.0,21.150560443253497,-23.165215617164137,0.0,129.65353360313134,-149.78740773667454,0.0
0.24,5.677394021189896,84.39965043323514,0.0,22.44382097485227,-24.666632538403377,0.0,128.79541606822133,-150.30945934302764,0.0
0.25,5.908276972185624,84.14546402951075,0.0,23.726468764617923,-26.17140480402469,0.0,127.53963508289381,-150.4628200867586,0.0
0.26,6.151923396482254,83.87622233715464,0.0,24.994613676510145,-27.67588894013855,0.0,125.9034259476488,-150.25567296635955,0.0
0.27,6.408169245715827,83.59194625070798,0.0,26.2445372835709,-29.17651826335188,0.0,123.90387783542742,-149.69523007529517,0.0
0.28,6.676814142153672,83.2926919718876,0.0,27.472691233218693,-30.669793541644452,0.0,121.55789855841536,-148.78780805965164,0.0
0.29,6.957623070380201,82.97855037987509,0.0,28.675695254739207,-32.15227442454491,0.0,118.88217854225225,-147.53890603831366,0.0
0.3,7.250328047248456,82.64964648339671,0.0,29.85033480406374,-33.620571662410725,0.0,115.89315462639415,-145.95328509070526,0.0
0.31,7.554629766461476,82.30613894662687,0.0,30.99355834726709,-35.07134012635902,0.0,112.60697433236525,-144.03504855593496,0.0
