Time[s],X_Position,Y_Position,Z_Position
0.0,-2.0,20.0,0.0
0.01,-2.0,20.001231325,0.0
0.02,-2.0,20.009702400000002,0.0
0.03,-2.0,20.032249475000004,0.0
0.04,-2.0,20.075276799999997,0.0
0.05,-2.0,20.144765625,0.0
0.06,-2.0,20.2462832,0.0
0.07,-2.0,20.384991775,0.0
0.08,-2.0,20.5656576,0.0
0.09,-2.0,20.792659925,0.0
0.1,-2.0,21.069999999999997,0.0
0.11,-2.0,21.401310074999998,0.0
0.12,-2.0,21.789862399999997,0.0
0.13,-2.0,22.238578224999998,0.0
0.14,-2.0,22.750036799999997,0.0
0.15,-2.0,23.326484374999993,0.0
0.16,-2.0,23.96984319999999,0.0
0.17,-2.0,24.681720524999992,0.0
0.18,-2.0,25.46341759999999,0.0
0.19,-2.0,26.315938674999988,0.0
0.2,-2.0,27.239999999999988,0.0
0.21,-2.0,28.236038824999984,0.0
0.22,-2.0,29.304222399999983,0.0
0.23,-2.0,30.44445697499998,0.0
0.24,-2.0,31.65639679999998,0.0
0.25,-2.0,32.93945312499998,0.0
0.26,-2.0,34.29280319999997,0.0
0.27,-2.0,35.71539927499998,0.0
0.28,-2.0,37.20597759999997,0.0
0.29,-2.0,38.76306742499997,0.0
0.3,-2.0,40.38499999999996,0.0
0.31,-2.0,42.06991757499996,0.0
0.32,-2.0,43.81578239999996,0.0
0.33,-2.0,45.62038572499996,0.0
0.34,-2.0,47.48135679999994,0.0
0.35000000000000003,-2.0,49.39617187499995,0.0
0.36,-2.0,51.362163199999934,0.0
0.37,-2.0,53.37652802499994,0.0
0.38,-2.0,55.43633759999994,0.0
0.39,-2.0,57.53854617499993,0.0
0.4,-2.0,59.679999999999936,0.0
0.41000000000000003,-2.0,61.85744632499993,0.0
0.42,-2.0,64.06754239999991,0.0
0.43,-2.0,66.30686447499991,0.0
0.44,-2.0,68.57191679999991,0.0
0.45,-2.0,70.85914062499992,0.0
0.46,-2.0,73.16492319999992,0.0
0.47000000000000003,-2.0,75.4856067749999,0.0
0.48,-2.0,77.8174975999999,0.0
0.49,-2.0,80.1568749249999,0.0
0.5,-2.0,82.49999999999989,0.0
0.51,-2.0,84.8431250749999,0.0
0.52,-2.0,87.18250239999988,0.0
0.53,-2.0,89.51439322499986,0.0
0.54,-2.0,91.83507679999988,0.0
0.55,-2.0,94.14085937499988,0.0
0.56,-2.0,96.42808319999989,0.0
0.5700000000000001,-2.0,98.69313552499985,0.0
0.58,-2.0,100.93245759999988,0.0
0.59,-2.0,103.14255367499985,0.0
0.6,-2.0,105.31999999999982,0.0
0.61,-2.0,107.46145382499986,0.0
0.62,-2.0,109.56366239999987,0.0
0.63,-2.0,111.62347197499986,0.0
0.64,-2.0,113.63783679999985,0.0
0.65,-2.0,115.6038281249998,0.0
0.66,-2.0,117.51864319999981,0.0
0.67,-2.0,119.3796142749998,0.0
0.68,-2.0,121.18421759999974,0.0
0.6900000000000001,-2.0,122.93008242499991,0.0
0.7000000000000001,-2.0,124.61499999999977,0.0
0.71,-2.0,126.23693257499977,0.0
0.72,-2.0,127.79402239999979,0.0
0.73,-2.0,129.28460072499982,0.0
0.74,-2.0,130.7071967999998,0.0
0.75,-2.0,132.0605468749998,0.0
0.76,-2.0,133.34360319999982,0.0
0.77,-2.0,134.55554302499974,0.0
0.78,-2.0,135.69577759999973,0.0
0.79,-2.0,136.7639611749997,0.0
0.8,-2.0,137.75999999999985,0.0
0.81,-2.0,138.68406132499973,0.0
0.8200000000000001,-2.0,139.53658239999976,0.0
0.8300000000000001,-2.0,140.31827947499977,0.0
0.84,-2.0,141.03015679999976,0.0
0.85,-2.0,141.67351562499982,0.0
0.86,-2.0,142.2499631999998,0.0
0.87,-2.0,142.76142177499986,0.0
0.88,-2.0,143.21013759999983,0.0
0.89,-2.0,143.59868992499992,0.0
0.9,-2.0,143.92999999999995,0.0
0.91,-2.0,144.20734007499988,0.0
0.92,-2.0,144.43434239999988,0.0
0.93,-2.0,144.61500822499954,0.0
0.9400000000000001,-2.0,144.75371679999967,0.0
0.9500000000000001,-2.0,144.8552343749999,0.0
0.96,-2.0,144.9247231999999,0.0
0.97,-2.0,144.96775052499993,0.0
0.98,-2.0,144.99029759999985,0.0
0.99,-2.0,144.99876867499995,0.0
1.0,-2.0,144.99999999999977,0.0
1.01,-1.99999704482,145.0,0.0
1.02,-1.99997671424,145.0,0.0
1.03,-1.99992260126,145.0,0.0
1.04,-1.99981933568,145.0,0.0
1.05,-1.9996525625000001,145.0,0.0
1.06,-1.99940892032,145.0,0.0
1.07,-1.99907601974,145.0,0.0
1.08,-1.99864242176,145.0,0.0
1.09,-1.9980976161800001,145.0,0.0
1.1,-1.997432,145.0,0.0
1.11,-1.99663685582,145.0,0.0
1.12,-1.99570433024,145.0,0.0
1.1300000000000001,-1.99462741226,145.0,0.0
1.1400000000000001,-1.99339991168,145.0,0.0
1.1500000000000001,-1.9920164375,145.0,0.0
1.16,-1.9904723763199998,145.0,0.0
1.17,-1.98876387074,145.0,0.0
1.18,-1.9868877977600001,145.0,0.0
1.19,-1.98484174718,145.0,0.0
1.2,-1.9826240000000002,145.0,0.0
1.21,-1.98023350682,145.0,0.0
1.22,-1.97766986624,145.0,0.0
1.23,-1.97493330326,145.0,0.0
1.24,-1.97202464768,145.0,0.0
1.25,-1.9689453125,145.0,0.0
1.26,-1.9656972723200001,145.0,0.0
1.27,-1.9622830417400001,145.0,0.0
1.28,-1.95870565376,145.0,0.0
1.29,-1.9549686381800002,145.0,0.0
