Time (s),q1_values_deg,q2_values_deg,q3_values_mm
0.0,0.0,90.0,0.0
0.01,6.994117985547326e-05,89.91040536686054,0.0
0.02,0.0002797652335649184,89.82067063168235,0.0
0.03,0.0006294737079465771,89.73079557280965,0.0
0.04,0.0011190691905089048,89.64077996651177,0.0
0.05,0.001748555317484652,89.55062358696998,0.0
0.06,0.0025179367821193902,89.46032620626417,0.0
0.07,0.003427219342826454,89.3698875943596,0.0
0.08,0.004476409831519992,89.27930751909321,0.0
0.09,0.005665516161960748,89.18858574616014,0.0
0.1,0.00699454733815908,89.09772203909984,0.0
0.11,0.008463513462803433,89.00671615928215,0.0
0.12,0.010072425745828756,88.91556786589325,0.0
0.13,0.011821296512946743,88.82427691592147,0.0
0.14,0.013710139214341475,88.7328430641429,0.0
0.15,0.015738968433288723,88.64126606310691,0.0
0.16,0.017907799894991527,88.54954566312152,0.0
0.17,0.020216650475314,88.45768161223859,0.0
0.18,0.02266553820978229,88.36567365623887,0.0
0.19,0.02525448230244563,88.27352153861696,0.0
0.2,0.027983503134883632,88.18122500056596,0.0
0.21,0.030852622275359957,88.08878378096219,0.0
0.22,0.033861862487950485,87.9961976163495,0.0
0.23,0.03701124774167152,87.9034662409237,0.0
0.24,0.04030080321991966,87.81058938651648,0.0
0.25,0.043730555329701805,87.71756678257954,0.0
0.26,0.04730053171113859,87.62439815616823,0.0
0.27,0.051010761246929784,87.53108323192534,0.0
0.28,0.054861274071984954,87.43762173206431,0.0
0.29,0.058852101582990625,87.34401337635275,0.0
0.3,0.06298327644821906,87.25025788209534,0.0
0.31,0.06725483261731804,87.15635496411687,0.0
0.32,0.07166680533117695,87.06230433474491,0.0
0.33,0.07621923113188185,86.96810570379243,0.0
0.34,0.08091214787283613,86.87375877854014,0.0
0.35000000000000003,0.08574559472880455,86.77926326371863,0.0
0.36,0.09071961220619291,86.68461886149052,0.0
0.37,0.09583424215328938,86.58982527143208,0.0
0.38,0.10108952777070943,86.49488219051497,0.0
0.39,0.10648551362182174,86.39978931308765,0.0
0.4,0.11202224564336484,86.30454633085651,0.0
0.41000000000000003,0.11769977115601933,86.209152932867,0.0
0.42,0.12351813887524714,86.11360880548439,0.0
0.43,0.1294773989220864,86.01791363237434,0.0
0.44,0.13557760283403522,85.9220670944834,0.0
0.45,0.14181880357618373,85.82606887001906,0.0
0.46,0.14820105555225058,85.72991863442985,0.0
0.47000000000000003,0.15472441461586103,85.63361606038504,0.0
0.48,0.16138893808185725,85.5371608177541,0.0
0.49,0.16819468473771004,85.44055257358615,0.0
0.5,0.1751417148550896,85.3437909920889,0.0
