Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.4694E-18,-0.010496,0.097334,0,0,0,13.521,0.07366,2.5757E-19,-4.1492E-18,0.08182,-0.0035749,0.056323,0,0,0,0,0,0,package://scara2/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://scara2/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.094352,0.0010294,0.12084,0,0,0,15.936,0.069528,-0.0021755,-0.059062,0.26893,-0.00064495,0.24013,0,0,0,0,0,0,package://scara2/meshes/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://scara2/meshes/Link1.STL,,link1_320mm-1,link1,Axis link1,q1,revolute,0,0,0.2,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
link2,0.19698,6.5485E-05,0.083139,0,0,0,13.373,0.060294,-6.133E-05,-0.049853,0.25254,-1.6152E-05,0.21224,0,0,0,0,0,0,package://scara2/meshes/link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://scara2/meshes/link2.STL,,link2_320mm-2,link2,Axis link2,q2,revolute,0.31998,0.0034886,0.2015,0,0,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
shaft,-2.1871E-14,-1.9545E-13,-0.18237,0,0,0,0.80683,0.012728,2.166E-20,6.2417E-19,0.012728,7.3737E-20,0.00015918,0,0,0,0,0,0,package://scara2/meshes/shaft.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://scara2/meshes/shaft.STL,,shaft-1,end,axis end,end,prismatic,0.32,0.00010471,-0.33438,-3.1416,0,3.1416,link2,0,0,-1,0,0,0,0,,,,,,,,
